symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
TRB-200712,2003-06-06,2004-07-15,44.3021,39.87189,218.527986,278,-0.10125911861696824,-981.0009293554467,stop
ZBH,2003-06-06,2003-08-06,37.68737,43.340475,223.584796,42,0.14839112621165174,1251.2668261760264,target
ADBE,2003-06-13,2003-08-19,15.739601,18.100541,624.768015,46,0.14839112621165174,1460.2403246685863,target
AZO,2003-06-13,2003-08-22,79.08,90.942,124.350016,49,0.14839112621165196,1460.240324668588,target
MDT,2003-07-03,2005-02-07,29.335495,33.735819,334.395753,402,0.14839112621165174,1456.6861967050845,target
UCL-200508,2003-07-03,2003-12-04,27.59901,31.738861,355.435392,107,0.14839112621165174,1456.6861967050845,target
SO,2003-07-11,2004-10-22,10.562896,12.14733,943.022502,324,0.14839112621165174,1479.1659136071648,target
AEE,2003-07-18,2004-01-21,16.282915,18.725352,617.305442,128,0.14839112621165174,1492.6022508950246,target
NEE,2003-08-08,2004-03-08,3.825696,4.39955,2646.643542,145,0.14839112621165174,1503.549535279415,target
BAC,2003-08-22,2004-08-17,22.807001,26.228051,453.482124,247,0.14839112621165196,1535.8195241912108,target
HNZ-201306,2003-08-22,2003-12-03,22.82698,26.251027,453.08522,71,0.14839112621165174,1535.819524191209,target
AN,2003-12-05,2004-05-12,17.32,15.588,629.579203,108,-0.10125911861696801,-1104.9339139559233,stop
DELL-201310,2003-12-05,2004-11-12,33.06031,38.019357,329.8309,236,0.14839112621165196,1619.2357796593806,target
TGT,2004-01-02,2004-02-19,22.398384,25.758142,500.786744,32,0.14839112621165196,1665.6407634431307,target
HNZ-201306,2004-01-09,2004-12-17,25.585106,29.422872,437.806041,237,0.14839112621165174,1663.33911634974,target
TGNA-202603,2004-01-23,2005-04-20,23.761877,21.385689,476.479717,312,-0.10125911861696801,-1147.2635726135813,stop
UPS,2004-02-20,2004-11-04,34.707726,39.913885,329.025985,179,0.14839112621165174,1695.7748447336417,target
KO,2004-03-12,2004-07-29,12.465974,11.219377,922.956093,95,-0.1012591186169679,-1165.8570427921804,stop
GIS,2004-05-14,2005-01-18,11.169339,12.84474,1023.754674,170,0.14839112621165196,1697.9902835053817,target
DDS,2004-09-10,2004-11-05,12.89364,14.827686,891.642613,40,0.14839112621165174,1707.175568167695,target
NOC,2004-09-10,2004-12-03,26.080273,29.992314,440.812827,59,0.14839112621165196,1707.1755681676968,target
DLX,2004-09-17,2004-10-28,16.96305,15.266745,684.877164,29,-0.10125911861696812,-1177.2119733603195,stop
LUMN,2004-10-29,2006-02-22,9.516065,10.943475,1205.751038,330,0.14839112621165174,1703.8324093262236,target
SRE,2004-10-29,2005-02-04,8.704897,10.010632,1254.011787,67,0.14839112621165174,1620.9778711623658,target
BJS-201004,2004-11-05,2005-01-07,22.472149,20.224934,533.025792,43,-0.10125911861696801,-1213.7545553193158,stop
QCOM,2004-11-05,2004-12-03,23.724092,27.282706,504.897512,19,0.14839112621165196,1778.7080103833214,target
HES-202507,2004-11-12,2005-02-03,20.278255,23.319993,603.99746,56,0.14839112621165151,1818.7689150427505,target
GAS-201112,2004-12-03,2005-06-13,26.537823,30.518496,467.373148,131,0.14839112621165196,1841.7932674470303,target
KSE-200708,2004-12-03,2005-10-19,33.922504,30.530254,365.629432,221,-0.10125911861696801,-1256.8026653450106,stop
CVX,2004-12-17,2005-02-16,22.825922,26.24981,551.478209,41,0.14839112621165174,1869.2548511599853,target
CIN-200603,2005-01-07,2005-06-30,37.727806,43.386977,328.789331,120,0.14839112621165174,1842.0062443780898,target
WFC,2005-01-21,2006-04-27,16.662039,19.161345,751.920422,318,0.14839112621165174,1860.4236766122194,target
ECL,2005-02-04,2006-03-09,26.230333,30.164883,495.58675,274,0.14839112621165174,1930.3467153335714,target
WHR,2005-02-04,2005-06-21,32.850822,37.778445,395.710204,94,0.14839112621165196,1930.3467153335732,target
CPB,2005-02-11,2006-03-09,14.458115,16.626832,899.485046,269,0.14839112621165196,1931.1564236293307,target
MSFT,2005-02-18,2006-05-19,17.528473,15.775626,738.068315,314,-0.10125911861696801,-1310.9275430663238,stop
SVU-201810,2005-05-06,2006-07-27,174.09221,156.682989,73.92389,308,-0.10125911861696812,-1304.0738702718882,stop
GDT-200604,2005-06-17,2005-06-24,72.145996,59.949078,190.003236,5,-0.170221338412181,-2335.0228273819284,stop_gap
JNJ,2005-06-24,2006-01-25,35.938244,32.34442,372.238284,147,-0.1012591186169679,-1355.5512244344245,stop
PEP,2005-06-24,2006-07-11,29.464718,33.884426,454.020646,262,0.14839112621165196,1986.505270624597,target
KO,2005-07-01,2006-10-20,11.190028,12.868532,1200.356473,329,0.14839112621165174,1994.5881877041284,target
WWY-200810,2005-11-04,2006-02-08,52.27474,47.047266,252.982799,64,-0.10125911861696812,-1340.0497340533748,stop
UNH,2006-01-27,2006-04-10,44.90532,40.414788,279.610996,50,-0.10125911861696812,-1272.3016328278882,stop
CMX-200703,2006-02-10,2006-04-19,49.02472,44.122248,242.438869,46,-0.10125911861696801,-1204.3574790802268,stop
EFX,2006-02-24,2006-07-07,29.79572,26.816148,442.232838,92,-0.10125911861696812,-1335.1895198359343,stop
AFL,2006-03-10,2007-04-25,14.27408,16.415192,964.076056,282,0.14839112621165174,2043.4840567559204,target
FHI,2006-03-10,2006-04-28,13.591699,12.232529,1012.478186,34,-0.10125911861696824,-1394.4324015696002,stop
KR,2006-04-13,2006-07-20,6.871275,7.901966,1939.925726,67,0.14839112621165174,1979.4031776449337,target
T,2006-04-21,2006-07-25,6.314932,7.262172,1738.308079,65,0.14839112621165151,1630.0737642592558,target
LUMN,2006-04-28,2006-12-04,11.298453,12.993221,1174.166998,152,0.14839112621165174,1969.9748587203467,target
SEE-202604,2006-04-28,2006-07-26,18.405056,16.56455,720.794908,61,-0.10125911861696812,-1344.2712039740927,stop
DUK,2006-05-19,2006-10-04,19.689222,22.642605,601.859747,95,0.14839112621165174,1759.688049280705,target
CSX,2006-07-28,2006-10-13,2.37577,2.732136,5595.893769,54,0.14839112621165174,1974.1754228008485,target
HPC-200811,2006-07-28,2006-10-06,14.06613,16.176049,945.146833,49,0.14839112621165196,1974.1754228008504,target
JCI-201609,2006-07-28,2006-09-07,20.486774,18.438097,648.933708,28,-0.10125911861696801,-1347.1375843793376,stop
PPG,2006-07-28,2007-03-19,19.96906,22.964419,665.757838,159,0.14839112621165174,1974.1754228008485,target
R,2006-07-28,2007-08-07,29.834402,34.309562,445.611687,257,0.14839112621165174,1974.1754228008485,target
SHLDQ-202210,2006-07-28,2006-09-14,92.99981,106.949781,130.491333,33,0.14839112621165174,1802.0861933145825,target
NI,2006-09-08,2006-11-10,3.88314,4.465611,3076.984855,45,0.14839112621165196,1774.2721594927552,target
PPL,2006-09-15,2007-02-09,12.694952,14.599195,1089.438624,100,0.14839112621165174,2053.7409481175673,target
D,2006-10-06,2007-02-02,16.8452,19.37198,840.99213,80,0.14839112621165196,2103.6812388371345,target
HCR-200712,2006-10-06,2007-04-11,49.83872,57.314528,284.250491,126,0.14839112621165174,2103.6812388371327,target
PEP,2006-10-13,2007-09-13,34.695698,39.900053,410.900057,229,0.14839112621165174,2117.0136623094495,target
PNC,2006-10-20,2008-01-17,39.23986,35.315874,368.84525,311,-0.10125911861696812,-1466.593266603295,stop
MI-201107,2006-11-10,2007-07-26,32.955784,29.660206,438.477945,175,-0.10125911861696801,-1464.2574541746326,stop
BAC,2006-12-08,2007-11-02,34.72323,31.250907,422.53353,226,-0.10125911861696812,-1486.6862923341669,stop
K-202512,2007-02-02,2007-08-08,25.226889,29.010922,607.015079,129,0.14839112621165151,2273.919082987486,target
PNW,2007-02-09,2007-06-08,20.791965,18.712769,737.369059,82,-0.10125911861696801,-1553.5258637615552,stop
KATE-201707,2007-03-23,2007-05-01,41.29024,34.80993,373.614452,26,-0.15812477263710512,-2441.039958575413,stop_gap
COL-201811,2007-04-13,2007-10-01,54.41178,62.573547,286.701347,118,0.14839112621165196,2316.511698153363,target
HSH-201408,2007-04-27,2007-08-10,18.685947,16.817352,858.115142,73,-0.10125911861696812,-1624.795549473709,stop
UST-200901,2007-05-04,2007-08-09,51.793915,46.614523,303.526521,67,-0.10125911861696812,-1592.9913806040986,stop
BDX,2007-06-08,2008-01-02,41.62004,47.863046,367.043749,143,0.14839112621165174,2268.4653827908896,target
HET-200801,2007-07-27,2008-01-28,83.815346,89.97,154.949563,126,0.07192935896158881,934.8113735037732,delist
CHKAQ-202102,2007-08-24,2007-10-15,5610.7983,6452.418045,2.729376,35,0.14839112621165174,2274.049522578747,target
FIS,2007-08-24,2007-11-02,19.823786,17.841407,772.505334,49,-0.10125911861696801,-1551.765636034239,stop
NKE,2007-08-24,2007-10-09,10.376651,11.933149,1475.811456,31,0.14839112621165174,2274.049522578747,target
ADP,2007-08-31,2008-01-14,25.069176,22.562258,607.773845,92,-0.1012591186169679,-1543.9033460581213,stop
