symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
STX,2026-01-08,2026-01-09,288.557389,295.196626,37.8036,1,0.021577168878677888,235.53948422041503,target
WDC,2026-01-08,2026-01-09,184.858043,196.170591,59.010189,1,0.05971123340008422,651.8164267193915,target
REGN,2026-01-13,2026-01-21,741.942232,742.847997,14.889665,5,-0.00017992642039077467,-1.989087311179901,target
ASML,2026-02-04,2026-02-06,1337.833708,1376.421293,8.257433,2,0.02740396106515597,302.9454466290008,target
AVGO,2026-02-04,2026-02-05,305.17747,315.625154,36.198845,1,0.032787863598469746,362.4634394360928,target
LRCX,2026-02-04,2026-02-06,216.843934,220.664505,50.944806,2,0.016195320485474562,179.03611036764414,target
MU,2026-02-04,2026-02-06,391.83753,394.463623,28.192991,2,0.005293597300371822,58.51968606371702,price_action
TSLA,2026-02-05,2026-02-06,390.044953,406.153482,28.134664,1,0.03984236038119149,437.52750566030045,target
NVDA,2026-02-27,2026-03-02,178.743255,180.455895,62.554088,1,0.008169141426158877,91.40409930336136,target
GEHC,2026-03-03,2026-03-09,77.663567,75.600598,144.086373,4,-0.027924752447372803,-312.70402773100795,target
MAR,2026-03-03,2026-03-09,320.692644,328.212128,34.894039,4,0.022015810243491973,246.53513222278343,price_action
STX,2026-03-03,2026-03-04,355.155312,370.092713,31.508079,1,0.04060092267267934,454.65298477646684,target
WDC,2026-03-03,2026-03-04,251.672404,261.099368,44.463602,1,0.036005858297392335,403.197017868848,target
ADI,2026-03-06,2026-03-16,318.6073,310.818634,35.488073,6,-0.025810794275533122,-292.0407207773969,target_gap
AMAT,2026-03-06,2026-03-09,329.11084,333.672771,34.355475,1,0.01244296825383051,140.78812835696408,target
FER,2026-03-06,2026-03-10,64.697786,66.347851,174.762691,2,0.024069502664983977,272.3385740088852,target
KLAC,2026-03-06,2026-03-09,136.439545,138.062309,82.870103,1,0.010477991386028895,118.55505584250386,target
LRCX,2026-03-06,2026-03-09,204.116049,205.439459,55.393778,1,0.005075523496240519,57.42789332018947,target
ODFL,2026-03-12,2026-03-16,179.134347,182.209045,63.229802,2,0.015741172513671353,178.41923010923892,price_action
MU,2026-03-20,2026-03-31,420.643291,335.84945,26.90398,7,-0.2026983499664441,-2295.5386489949396,target
FAST,2026-04-14,2026-04-16,44.02304,44.953265,251.855049,2,0.01970183199181097,218.5954898530399,target
AMD,2026-04-28,2026-04-29,311.859985,333.573699,35.622667,1,0.06813005304938158,757.4059433070433,target
ARM,2026-04-28,2026-04-30,197.320007,210.119982,56.300851,2,0.0633793432069869,704.5920130588329,target
LRCX,2026-04-28,2026-04-30,248.074753,255.109698,44.782003,2,0.02691946767052711,299.2653592907209,target
MRVL,2026-04-28,2026-04-29,147.910004,156.570007,75.108404,1,0.057068208871210446,634.4307488152608,price_action
ODFL,2026-05-04,2026-05-05,196.745373,197.429627,57.682951,1,0.00207398194547026,23.55379385143715,target
FANG,2026-05-06,2026-05-11,197.752365,191.234276,57.401129,3,-0.03431377336298236,-389.7754686017088,target
INTC,2026-05-15,2026-05-18,107.284903,113.703262,105.441038,1,0.05834264986998017,660.4475549492017,target
MU,2026-05-15,2026-05-18,725.327746,752.721069,15.596028,1,0.03631496266041512,411.09082893205414,target
MPWR,2026-05-18,2026-05-20,1482.059539,1506.919742,7.641455,2,0.01535160380379419,173.98001923625816,target
MRVL,2026-05-18,2026-05-19,166.078707,175.496012,68.191111,1,0.05522551315819091,625.8717958327961,target
ADI,2026-05-21,2026-05-22,381.846821,391.557022,30.11514,1,0.02399497375673354,276.1202442092599,target
INTC,2026-06-01,2026-06-03,106.445128,116.419998,108.290373,2,0.0921789116828946,1063.2884925941162,target_gap
TXN,2026-06-01,2026-06-02,293.757139,301.26001,39.239838,1,0.02410631228563309,278.06755345919737,target_gap
DDOG,2026-06-03,2026-06-15,254.2859,236.587217,45.500211,8,-0.07090315756832344,-820.9281913870345,target
AMD,2026-06-05,2026-06-08,496.349522,485.0,23.394174,1,-0.0242330183464462,-281.58320075884876,target_gap
ARM,2026-06-05,2026-06-08,358.10626,364.222748,32.425256,1,0.01565717616690554,181.93349738329198,target
AVGO,2026-06-05,2026-06-08,389.575975,401.983795,29.805963,1,0.03040597228821884,353.3117862867093,target_gap
CRWD,2026-06-05,2026-06-11,169.656366,166.972994,68.442391,4,-0.017193403177379607,-199.78417172014815,target
FANG,2026-06-05,2026-06-08,195.86465,196.857595,59.284242,1,0.003663436258184216,42.5684531991792,target
MU,2026-06-05,2026-06-08,931.34677,938.120728,12.46763,1,0.0058640960821607635,68.13971420173584,target_gap
SNDK,2026-06-05,2026-06-08,1657.721179,1634.0,7.004608,1,-0.01568851226674517,-182.29761708006117,target_gap
WDC,2026-06-05,2026-06-08,545.25,540.210022,21.296079,1,-0.01062951494288622,-123.51300186139815,target_gap
ARM,2026-06-23,2026-06-25,370.0,379.765015,31.256494,2,0.024955987938668933,288.81560763850393,target_gap
CRWV,2026-06-23,2026-06-25,102.925003,105.3485,112.362425,2,0.02211428020555095,255.92852868620867,target
RKLB,2026-06-24,2026-06-26,86.701966,85.115675,133.600264,2,-0.019669335527660592,-227.99737735365306,target
MU,2026-06-29,2026-06-30,1026.085643,1154.112549,11.301764,1,0.12319856440778798,1429.681790787412,price_action
