symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
IMNX-200207,1998-01-09,1998-01-12,4.165154,4.39315,4291.818266,1,0.053263325335738854,952.8060990697595,target
NXTL-200508,1998-01-09,1998-01-13,11.357973,11.830082,1573.879666,2,0.04010913384497883,717.4960841256107,target
ADCT-201012,1998-01-15,1998-01-30,55.5625,32.641872,323.430202,10,-0.4133416338822802,-7433.192873910419,target
CTXS-202209,1998-01-22,1998-01-27,9.038268,8.595805,1968.569337,3,-0.05028496156404372,-895.3192895388784,target
FORE-199906,1998-01-22,1998-01-28,16.318984,14.95973,1090.291966,4,-0.08457527062162351,-1505.8552070099486,target
HBOC-199901,1998-01-23,1998-01-27,23.608316,23.600502,750.745499,2,-0.0017295499648445345,-30.67571928982943,target
AW-200812,1998-01-28,1998-01-29,21.906782,22.050458,768.045515,1,0.005150318405553467,86.7168559439524,target
JAVA-201001,1998-02-09,1998-02-10,22.92182,23.40558,741.335465,1,0.019676244412025534,334.5877066571775,target
MLKN,1998-02-11,1998-02-12,18.799537,18.64805,905.67215,1,-0.009445750118564966,-160.9379665900051,target
APOL-201702,1998-02-18,1998-02-19,11.89981,11.963165,1429.444866,1,0.003917512673230039,66.68401837559941,target
SIAL-201511,1998-02-18,1998-02-24,15.811945,16.345365,1075.776762,4,0.03228905421269146,549.6252505226694,target
LLTC-201703,1998-03-02,1998-03-06,12.865388,11.967244,1326.95212,4,-0.07111225331667559,-1214.8606936052474,target
MXIM-202108,1998-03-02,1998-03-06,11.504931,10.956783,1483.864076,4,-0.048976974774782245,-836.7081448061235,target
AAPL,1998-03-03,1998-03-04,0.161882,0.177956,105129.880289,1,0.09775138406534589,1664.7643629665508,target
CTXS-202209,1998-03-03,1998-03-04,6.971675,7.514685,2441.118193,1,0.07637995521830598,1300.7961852224507,target_gap
DELL-201310,1998-03-03,1998-03-04,15.665669,16.060246,1086.36813,1,0.02375311871480945,404.5297764714451,target
JAVA-201001,1998-03-06,1998-03-10,20.948379,20.875,817.331993,2,-0.00489694859944223,-83.9031677915118,target_gap
RXSD-200007,1998-03-12,1998-03-13,36.134584,36.948518,475.865884,1,0.021094545895870898,362.9791745645598,target
IMNX-200207,1998-03-25,1998-03-27,5.523007,5.681739,3119.951425,2,0.027300903709363444,470.76519929818096,target
RXSD-200007,1998-03-27,1998-03-30,30.210434,31.402307,570.804587,1,0.03799817251484083,655.7088157087856,target
CTXS-202209,1998-04-07,1998-04-08,9.105968,9.523867,1904.702509,1,0.0444296198415588,771.1338969000935,target
EA,1998-04-07,1998-04-08,10.091853,10.520424,1718.629986,1,0.041008563080511484,711.7570028129812,target
MXIM-202108,1998-04-07,1998-04-09,10.053168,10.176946,1725.243346,2,0.010896070589414997,189.11549107279643,price_action
