symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
WCOEQ-200404,1997-03-03,1997-03-10,16.58614,15.359375,1236.738263,5,-0.07525881618038899,-1544.8432267905737,target
ATML-201604,1997-03-06,1997-03-14,7.513425,6.351186,2767.676099,6,-0.1558709138449147,-3243.5619183313975,target
MXIM-202108,1997-03-10,1997-03-11,7.171992,7.252623,2848.631093,1,0.009827719804750501,200.9243925875635,target
XLNX-202202,1997-03-10,1997-03-11,7.540595,7.768559,2709.38285,1,0.02879021389566505,588.6061420530496,target
KMAGQ-200207,1997-03-14,1997-03-17,26.260985,27.086784,776.853987,1,0.03000284102734696,612.514952079775,target
BGEN-200311,1997-03-17,1997-03-19,21.580127,20.698594,948.779137,2,-0.04219117675420736,-864.4595163282502,target
CNTO-199910,1997-03-17,1997-03-20,32.472002,30.061575,630.536239,3,-0.07552611597990344,-1547.4626382310598,target
GNCI-199908,1997-03-17,1997-03-24,19.917119,20.545073,1027.9988,5,0.03008521187816604,616.4191119945208,target
QMCO,1997-03-17,1997-03-18,2438.175031,2560.8696,8.397582,1,0.048852874970293,1000.9517609354807,target_gap
AMAT,1997-03-18,1997-03-20,4.358083,4.270858,4715.132869,2,-0.02138552827162965,-439.7575646032201,target
DELL-201310,1997-03-18,1997-03-20,3.900644,3.864922,5268.088777,2,-0.010544252205221705,-216.82488323104917,target
MXIM-202108,1997-03-18,1997-03-20,6.671582,6.957305,3080.070127,2,0.041367962028683536,850.6628409299556,target
ADSK,1997-03-19,1997-03-25,7.349907,7.388485,2781.923603,4,0.0038424063563653466,78.62021972896764,target
GTW-200710,1997-03-19,1997-03-20,11.943742,12.242365,1711.932544,1,0.023568438762992416,482.23838458562386,target
XLNX-202202,1997-03-19,1997-03-20,7.311544,7.962876,2796.520173,1,0.08755907228009896,1791.563115265497,target
FORT-199708,1997-03-24,1997-03-25,30.993913,30.90965,666.391044,1,-0.00411393784341163,-85.02902367281058,target
KLAC,1997-03-24,1997-03-25,0.90555,0.991595,22808.306652,1,0.09348772283638529,1932.2532572781784,target
SPLS-201709,1997-03-31,1997-04-01,4.317499,4.388859,4840.353791,1,0.015105806027535973,315.90550743127824,target
TLAB-201312,1997-03-31,1997-04-03,12.281158,11.939447,1701.649304,3,-0.029184122017145375,-610.3232662962073,target
ANDW-200712,1997-04-01,1997-04-03,34.52507,35.043864,604.627081,2,0.013606556237611978,284.2328569204765,target
OHP-200407,1997-04-01,1997-04-03,56.285308,57.339913,370.874618,2,0.017311534121158267,361.62763854469085,target
AN,1997-04-02,1997-04-04,27.004982,26.594267,778.738478,2,-0.016586609931909635,-349.0575677335328,target
FORT-199708,1997-04-02,1997-04-07,28.616191,29.553006,734.892311,3,0.031292411494901584,658.5343894724137,target
BMC-201309,1997-04-09,1997-04-10,22.853214,22.941627,917.346529,1,0.002464299125599645,51.69851078533247,target
KMAGQ-200207,1997-04-10,1997-04-15,29.176597,30.286268,716.781572,3,0.03658069263966146,765.5565719950937,target
ADSK,1997-04-11,1997-04-14,7.302212,7.259977,2869.728236,1,-0.007174773704999526,-150.45524263391053,target_gap
DELL-201310,1997-04-11,1997-04-15,4.246043,4.33125,4935.269584,2,0.018640390615601188,390.88960964816215,target
EFII-201907,1997-04-11,1997-04-17,37.75,37.177829,555.108991,4,-0.016534667482975718,-346.7325256946642,target
INTC,1997-04-11,1997-04-14,9.404551,9.417999,2228.215388,1,2.901384513198657e-05,0.6084212950227084,target
KLAC,1997-04-11,1997-04-15,1.102223,1.108253,19011.902147,2,0.004063467946176402,85.21105764646927,target
WWWW-200709,1997-04-11,1997-04-24,207.796098,201.25,100.845803,9,-0.03285745632616488,-689.0219492834294,target_gap
COST,1997-04-14,1997-04-16,9.028236,9.287216,2327.621926,2,0.027246363533136142,572.9646038399696,target
SPLS-201709,1997-04-14,1997-04-18,4.244303,4.319523,4951.183409,4,0.016298878231692626,342.74960391320565,target_gap
BMC-201309,1997-04-16,1997-04-17,21.285817,22.838942,1001.437382,1,0.07146415822271557,1524.4258662473658,target
AMAT,1997-04-21,1997-04-22,4.065921,4.257998,5247.022643,1,0.04577558327090747,977.2589018489089,target
QCOM,1997-04-21,1997-04-23,1.674842,1.632021,12737.903532,2,-0.026930482600134864,-574.9365048242944,target
CPWR-201412,1997-04-22,1997-04-23,7.2257,7.803151,2939.663772,1,0.07840549342001712,1666.5868928254058,target
QMCO,1997-04-22,1997-04-24,2524.883391,2712.5,8.412716,2,0.07280406130009887,1547.522871353107,target_gap
SXCL-201702,1997-05-07,1997-05-08,270.951992,281.253799,79.647871,1,0.036568569619108926,789.7295571955729,target
INTC,1997-05-14,1997-05-15,10.477437,10.999244,2067.273009,1,0.04833424042705836,1047.6390574378274,target
MFE-201102,1997-05-14,1997-05-15,38.155896,40.67516,567.663828,1,0.06453413919791973,1398.7699850978024,target
QMCO,1997-05-14,1997-05-15,2904.551415,3043.004365,7.457166,1,0.04620187583608848,1001.4203021525573,target
ADCT-201012,1997-05-19,1997-05-20,51.736014,56.971494,425.322776,1,0.09965543674833244,2194.4035831420006,target
QMCO,1997-05-19,1997-05-22,2869.170945,2639.208275,7.66929,3,-0.08143640848358835,-1793.2222506424587,target
BMET-200709,1997-05-29,1997-05-30,7.790952,7.991307,2829.516133,1,0.024281385220009888,535.6486827352637,target
KMAGQ-200207,1997-05-29,1997-06-04,31.657448,27.180838,696.34871,4,-0.14260898221361917,-3145.9619283166503,target
PSFT-200501,1997-05-29,1997-05-30,24.572428,25.284672,897.128419,1,0.027545950628589333,607.6651737617976,target
ADBE,1997-05-30,1997-06-04,5.213001,5.064765,4208.982959,3,-0.029795162491766503,-654.2062045607236,target
AMAT,1997-05-30,1997-06-02,5.351646,6.069464,4099.94084,1,0.1325436227009582,2910.2328396391094,target
CSCO,1997-05-30,1997-06-04,4.523748,4.718921,4850.277181,3,0.04168465559875134,915.2613393270076,target
DELL-201310,1997-05-30,1997-06-05,6.049079,6.46544,3627.235725,4,0.06733532394522057,1478.4677453342447,target
KLAC,1997-05-30,1997-06-04,1.151151,1.250136,19060.435474,3,0.08446886915648899,1854.6654447571273,target
LLTC-201703,1997-05-30,1997-06-02,8.637547,8.957451,2540.239045,1,0.03558567710881788,781.347333296686,target
MXIM-202108,1997-05-30,1997-06-05,7.637344,7.729873,2872.914149,4,0.010699427780315851,234.92511715840374,target
